draw,grid_point_index,grid_point_id,shift_index,centroid_time_shift_s,centroid_time,centroid_lat,centroid_lon,centroid_depth_km,offset_north_m,offset_east_m,on_grid_edge,space_time_cell_weight,space_time_cell_n_draws,dc_percent,clvd_percent,iso_percent,moment_Nm,Mw,NP1_strike_deg,NP1_dip_deg,NP1_rake_deg,NP2_strike_deg,NP2_dip_deg,NP2_rake_deg
314,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.37849005016173,-5.396920260320477,-12.224589689517797,1.0760298394997489e+18,5.9878828766430425,289.3892642346238,79.17492635865733,115.65431249365948,40.74677212091753,27.701450261374934,23.829275136073772
315,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.67078662072367,-5.353399510317564,-11.97581386895877,1.0730275970836943e+18,5.9870739277890666,289.3866610923037,79.1743813002625,115.60211187758243,40.79057703624881,27.65390588744256,23.87060869382523
316,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.66435788241331,-5.334589385939636,-12.001052731647052,1.0730978962682711e+18,5.987092895644115,289.39378882159565,79.19826130337165,115.63824062013691,40.723844721462214,27.678253453046423,23.794867370943614
317,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.46079867904947,-5.357993449280503,-12.18120787167002,1.0759774687782246e+18,5.987868784797855,289.3626267488907,79.16271905580435,115.62924224154136,40.76360734185888,27.682971077496536,23.8730509687934
318,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.49637171991375,-5.379622704115686,-12.124005575970559,1.0753434616328983e+18,5.987698132551116,289.37415635317154,79.1689729781545,115.6070832423209,40.7833457923046,27.66042583392451,23.877616894448018
319,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.64522743692281,-5.335250094593167,-12.019522468484032,1.0738211531091551e+18,5.987287969893713,289.3755527425033,79.18237777829219,115.63932006777911,40.73287121494282,27.68502201746112,23.8258822778263
320,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.53845883433532,-5.333405808161373,-12.128135357503307,1.0747583299362173e+18,5.98754054654018,289.39467346528744,79.171272683045,115.65757202318156,40.75582867291962,27.70576259815977,23.83408626199209
321,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.65990430201279,-5.389301605697069,-11.950794092290142,1.072401243164285e+18,5.986904872506789,289.3834278599928,79.1766866229469,115.5899004793435,40.793896902013856,27.641897811114095,23.875417580382965
322,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.72603586771689,-5.2217344776085906,-12.052229654674514,1.0733600818103539e+18,5.987163626579073,289.38426141317217,79.1673815770871,115.61300158596369,40.79111744269096,27.666418540899027,23.876238089672878
323,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.54836210073613,-5.374673155490012,-12.07696474377386,1.0745789820318546e+18,5.9874922278917895,289.3679018334355,79.18369901028478,115.63354382463174,40.72789764582062,27.6792568789748,23.827681522347618
324,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.63597245661113,-5.366242756579836,-11.997784786809044,1.0733190805568883e+18,5.987152566632189,289.3740624678426,79.17394060746082,115.60102179448846,40.77971193887804,27.65306988771035,23.872334629256034
325,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.62771593038373,-5.43003230837702,-11.94225176123926,1.072998952653958e+18,5.987066198703096,289.3894081273131,79.17761730844317,115.61760932781854,40.77407114096686,27.666898277390843,23.852157355564888
326,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.55880813651268,-5.469888130181314,-11.971303733306002,1.0738788826603447e+18,5.987303534839227,289.36369036120516,79.16602466012036,115.59675662962566,40.78712546077422,27.652060114769338,23.89150898030422
327,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.46953534657557,-5.384814351225742,-12.145650302198693,1.075299348128349e+18,5.987686255016009,289.3525308825459,79.16420427213039,115.59908615852733,40.7771672231643,27.65485494865331,23.893359508860055
328,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.68505348782755,-5.288618461898458,-12.026328050273989,1.0730611980550257e+18,5.987082994028682,289.3633673651712,79.1676025941241,115.60339879587637,40.77820422586434,27.65755709293662,23.88321119959164
